1	 151456.487	 360625.373	     58.409
2	 151454.277	 360625.657	     54.465
3	 151450.876	 360620.528	     58.471
4	 151447.516	 360618.087	     55.864
5	 151445.376	 360618.001	     54.594
6	 151445.252	 360615.772	     58.529
7	 151439.501	 360610.852	     58.618
8	 151437.788	 360611.372	     54.737
9	 151433.743	 360605.906	     58.713
10	 151432.400	 360605.103	     55.346
11	 151430.139	 360605.041	     54.830
12	 151428.243	 360601.320	     58.791
13	 151422.532	 360598.580	     54.974
14	 151422.436	 360596.456	     58.898
15	 151417.049	 360591.894	     59.015
16	 151410.692	 360586.537	     59.150
17	 151405.593	 360584.301	     54.642
18	 151395.690	 360575.953	     55.483
20	 151393.793	 360572.080	     59.511
