1	8	17.728	-2.761
1	9	14.945	-1.044
1	10	14.126	-2.822
1	11	12.907	-3.029
1	12	11.297	-1.212
1	13	7.888	-3.263
1	14	7.338	-1.383
1	15	3.621	-1.534
1	16	-0.925	-1.718
1	17	-3.72	-4.155
1	18	-10.89	-4.157
1	19	-17.987	-2.418
1	20	-13.544	-2.247
1	21	-17.694	-4.464
2	7	17.632	-3.141
2	8	16.684	-5.097
2	9	13.684	-3.234
2	10	12.81	-5.058
2	11	11.571	-5.228
2	12	9.82	-3.306
2	13	6.284	-5.335
2	14	5.673	-3.369
2	15	1.787	-3.418
2	16	-2.943	-3.496
2	17	-5.845	-5.932
2	18	-13.235	-5.718
2	20	-15.957	-3.683
3	7	14.897	-1.48
3	8	13.936	-3.434
3	9	10.842	-1.554
3	10	9.93	-3.391
3	11	8.722	-3.545
3	12	6.918	-1.617
3	13	3.364	-3.644
3	14	2.698	-1.67
3	15	-1.26	-1.719
3	16	-6.122	-1.782
3	17	-9.012	-4.234
3	18	-16.58	-4.001
4	4	17.75	-4.103
4	5	16.501	-4.683
4	6	16.232	-2.771
4	7	12.244	-2.881
4	8	11.358	-4.87
4	9	8.109	-2.988
4	10	7.227	-4.868
4	11	6.036	-5.03
4	12	4.104	-3.082
4	13	0.555	-5.18
4	14	-0.222	-3.182
4	15	-4.314	-3.264
4	16	-9.356	-3.379
4	17	-12.286	-5.928
5	4	16.053	-3.413
5	5	14.811	-4.024
5	6	14.431	-2.092
5	7	10.333	-2.302
5	8	9.53	-4.325
5	9	6.114	-2.51
5	10	5.263	-4.438
5	11	4.1	-4.622
5	12	2.025	-2.711
5	13	-1.489	-4.918
5	14	-2.388	-2.915
5	15	-6.94	-3.123
5	16	-11.604	-3.334
5	17	-14.543	-5.977
6	3	16.093	-1.389
6	4	13.765	-2.869
6	5	12.506	-3.453
6	6	12.131	-1.5
6	7	7.942	-1.609
6	8	7.127	-3.608
6	9	3.631	-1.719
6	10	2.732	-3.622
6	11	1.609	-3.773
6	12	-0.536	-1.812
6	13	-4.097	-3.925
6	14	-5.041	-1.911
6	15	-9.322	-2.002
6	16	-14.579	-2.1
6	17	-17.338	-4.645
7	1	17.846	-3.506
7	2	16.329	-5.38
7	3	13.961	-3.328
7	4	11.484	-4.641
7	5	10.209	-5.109
7	6	9.914	-3.125
7	7	5.641	-2.895
7	8	4.725	-4.847
7	9	1.265	-2.659
7	10	0.223	-4.519
7	11	-0.888	-4.565
7	12	-2.978	-2.423
7	13	-6.707	-4.282
7	14	-7.579	-2.167
7	15	-11.951	-1.909
7	16	-17.264	-1.591
8	2	16.98	-5.79
8	3	14.438	-3.918
8	4	12.081	-5.436
8	5	10.845	-6.005
8	6	10.382	-4.031
8	7	6.086	-4.135
8	8	5.327	-6.17
8	9	1.684	-4.229
8	10	0.783	-6.187
8	11	-0.329	-6.322
8	12	-2.582	-4.327
8	13	-6.194	-6.485
8	14	-7.206	-4.422
8	15	-11.6	-4.503
8	16	-16.94	-4.587
9	1	17.419	-3.325
9	2	15.999	-5.253
9	3	13.571	-3.284
9	4	11.183	-4.684
9	5	9.939	-5.213
9	6	9.567	-3.227
9	7	5.325	-3.155
9	8	4.482	-5.162
9	9	0.958	-3.071
9	10	-0.026	-4.978
9	11	-1.138	-5.083
9	12	-3.301	-2.997
9	13	-6.99	-5.015
9	14	-7.937	-2.895
9	15	-12.354	-2.799
9	16	-17.737	-2.665
10	1	17.371	-3.472
10	2	15.982	-5.43
10	3	13.524	-3.47
10	4	11.164	-4.908
10	5	9.923	-5.463
10	6	9.515	-3.454
10	7	5.27	-3.422
10	8	4.46	-5.456
10	9	0.89	-3.389
10	10	-0.066	-5.325
10	11	-1.193	-5.455
10	12	-3.373	-3.359
10	13	-7.073	-5.436
10	14	-8.037	-3.307
10	15	-12.472	-3.26
10	16	-17.889	-3.172
11	1	16.707	-3.698
11	2	15.336	-5.667
11	3	12.897	-3.686
11	4	10.55	-5.123
11	5	9.325	-5.672
11	6	8.916	-3.657
11	7	4.693	-3.612
11	8	3.87	-5.661
11	9	0.316	-3.569
11	10	-0.654	-5.513
11	11	-1.782	-5.647
11	12	-3.968	-3.524
11	13	-7.712	-5.622
11	14	-8.662	-3.46
11	15	-13.156	-3.386
12	4	2.352	0.456
12	5	1.59	-0.272
12	6	0.895	1.279
12	7	-1.866	1.2
12	8	-2.293	-0.325
